originalNameUsageID,genus,taxonID,parentNameUsageID,acceptedNameUsageID,datasetID,taxonomicStatus,taxonRank,scientificName,specificEpithet,infraspecificEpithet,nameAccordingTo,namePublishedIn,nomenclaturalCode,nomenclaturalStatus,taxonRemarks,dcterms:references
,Coptopsylla,106660,xAY,,,ACCEPTED,SPECIES,"Coptopsylla janiceae Lewis, 1973",janiceae,,,,ICZN,,,
,Coptopsylla,106670,xAY,,,ACCEPTED,SPECIES,"Coptopsylla joannae Lewis, 1964",joannae,,,,ICZN,,,
,Coptopsylla,106800,xAY,,,ACCEPTED,SPECIES,"Coptopsylla neronovi Farhang-Azad, 1972",neronovi,,,,ICZN,,,
,Coptopsylla,106810,xAY,,,ACCEPTED,SPECIES,"Coptopsylla olgae Argyropulo, 1946",olgae,,,,ICZN,,,
,Coptopsylla,106820,106810,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla olgae olgae Argyropulo, 1946",olgae,olgae,,,ICZN,,,
,Coptopsylla,106830,106810,,,ACCEPTED,INFRASPECIFIC_NAME,"Coptopsylla olgae wachschi Labunets & Kafarskaya, 1961",olgae,wachschi,,,ICZN,,,
,Coptopsylla,106790,xAY,,,ACCEPTED,SPECIES,"Coptopsylla mofidii Farhang-Azad, 1966",mofidii,,,,ICZN,,,
,Coptopsylla,106780,xAY,,,ACCEPTED,SPECIES,"Coptopsylla mesghalii Farhang-Azad, 1966",mesghalii,,,,ICZN,,,
,Coptopsylla,106610,xAY,,,ACCEPTED,SPECIES,"Coptopsylla bairamaliensis Wagner, 1928",bairamaliensis,,,,ICZN,,,
,Coptopsylla,106590,xAY,,,ACCEPTED,SPECIES,"Coptopsylla africana Wagner, 1932",africana,,,,ICZN,,,
,Coptopsylla,106600,xAY,,,ACCEPTED,SPECIES,"Coptopsylla arax Isayeva-Gurvich, 1950",arax,,,,ICZN,,,
,Coptopsylla,106580,xAY,,,ACCEPTED,SPECIES,"Coptopsylla afghana Lewis, 1973",afghana,,,,ICZN,,,
,Coptopsylla,106650,xAY,,,ACCEPTED,SPECIES,"Coptopsylla iranica Farhang-Azad, 1966",iranica,,,,ICZN,,,
,Coptopsylla,106640,xAY,,,ACCEPTED,SPECIES,"Coptopsylla caucasica Isayeva-Gurvich, 1950",caucasica,,,,ICZN,,,
,Coptopsylla,106630,xAY,,,ACCEPTED,SPECIES,"Coptopsylla bondari Ioff, 1946",bondari,,,,ICZN,,,
,Coptopsylla,106620,xAY,,,ACCEPTED,SPECIES,"Coptopsylla barbarae Lewis, 1973",barbarae,,,,ICZN,,,
,,xQ,xA,,,ACCEPTED,SUPERFAMILY,Ceratophylloidea,,,,,,,,
,,x84,xQ,,,ACCEPTED,FAMILY,Xiphiopsyllidae,,,,,,,,
,,x86,x84,,,ACCEPTED,GENUS,Xiphiopsylla,,,,,,,,
,Xiphiopsylla,138360,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla hippia Jordan & Rothschild, 1913",hippia,,,,ICZN,,,
,Xiphiopsylla,138380,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla levis Smit, 1960",levis,,,,ICZN,,,
,Xiphiopsylla,138350,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla daemonicola Smit, 1960",daemonicola,,,,ICZN,,,
,Xiphiopsylla,138340,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla apriona Jordan & Rothschild, 1913",apriona,,,,ICZN,,,
,Xiphiopsylla,138430,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla poggii Beaucournu, 1991",poggii,,,,ICZN,,,
,Xiphiopsylla,138420,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla tumida Smit, 1960",tumida,,,,ICZN,,,
,Xiphiopsylla,138370,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla hyparetes Jordan & Rothschild, 1913",hyparetes,,,,ICZN,,,
,Xiphiopsylla,138390,x86,,,ACCEPTED,SPECIES,"Xiphiopsylla lippa Jordan, 1933",lippa,,,,ICZN,,,
,Xiphiopsylla,138410,138390,,,ACCEPTED,INFRASPECIFIC_NAME,"Xiphiopsylla lippa smithi Hubbard, 1967",lippa,smithi,,,ICZN,,,
,Xiphiopsylla,138400,138390,,,ACCEPTED,INFRASPECIFIC_NAME,"Xiphiopsylla lippa lippa Jordan, 1933",lippa,lippa,,,ICZN,,,
,,xS,xQ,,,ACCEPTED,FAMILY,Leptopsyllidae,,,,,,,,
,,x7A,xS,,,ACCEPTED,GENUS,Paradoxopsyllus,,,,,,,,
,Paradoxopsyllus,135860,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus rhombomysus Li Kueichen, Huang Guiping & Sun Qing, 1987",rhombomysus,,,,ICZN,,,
,Paradoxopsyllus,135880,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus scorodumovi Scalon, 1935",scorodumovi,,,,ICZN,,,
,Paradoxopsyllus,135890,,135880,,SYNONYM,SPECIES,"Paradoxopsyllus transbaikalicus Tiflov & Pavlov, 1936",transbaikalicus,,,,ICZN,,,
,Paradoxopsyllus,135910,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus spinosus Lewis, 1974",spinosus,,,,ICZN,,,
,Paradoxopsyllus,135900,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus socrati Kunitskaya & Kunitsky, 1978",socrati,,,,ICZN,,,
,Paradoxopsyllus,135920,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus stenotus Liu Chiying, Cai Liyun & Wu Wenzhen, 1986",stenotus,,,,ICZN,,,
,Paradoxopsyllus,135930,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus teretifrons (Rothschild, 1913)",teretifrons,,,,ICZN,,,
,Paradoxopsyllus,135800,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus naryni Wagner, 1928",naryni,,,,ICZN,,,
,Paradoxopsyllus,135790,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus mustangensis Lewis, 1974",mustangensis,,,,ICZN,,,
,Paradoxopsyllus,135810,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus oribatus Lewis, 1974",oribatus,,,,ICZN,,,
,Paradoxopsyllus,135830,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus paucichaetus Yu Xin, Wu Houyong & Liu Chiying, 1966",paucichaetus,,,,ICZN,,,
,Paradoxopsyllus,135820,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus paraphaeopis Lewis, 1974",paraphaeopis,,,,ICZN,,,
,Paradoxopsyllus,135840,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus phaeopis (Jordan & Rothschild, 1911)",phaeopis,,,,ICZN,,,
,Paradoxopsyllus,135850,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus repandus (Rothschild, 1913)",repandus,,,,ICZN,,,
,Paradoxopsyllus,135870,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus scalonae Violovich, 1964",scalonae,,,,ICZN,,,
,Paradoxopsyllus,135550,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus dashidorzhii Scalon, 1953",dashidorzhii,,,,ICZN,,,
,Paradoxopsyllus,135570,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus digitatus Lewis, 1974",digitatus,,,,ICZN,,,
,Paradoxopsyllus,135520,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus curvispinus Miyajima & Koidzumi, 1909",curvispinus,,,,ICZN,,,
,Paradoxopsyllus,135530,,135520,,SYNONYM,SPECIES,"Paradoxopsyllus subcaecatus (Rothschild, 1912)",subcaecatus,,,,ICZN,,,
,Paradoxopsyllus,135540,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus custodis Jordan, 1932",custodis,,,,ICZN,,,
,Paradoxopsyllus,135590,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus faghihei Farhang-Azad, 1972",faghihei,,,,ICZN,,,
,Paradoxopsyllus,135610,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus gussevi Mirzoyeva, 1954",gussevi,,,,ICZN,,,
,Paradoxopsyllus,135560,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus dictosus Smit, 1975",dictosus,,,,ICZN,,,
,Paradoxopsyllus,135580,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus diversus Liu Chiying, Chen Jiaxian & Liu Quan, 1986",diversus,,,,ICZN,,,
,Paradoxopsyllus,135470,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus aculeolatus Ge Long & Ma Liming, 1988",aculeolatus,,,,ICZN,,,
,Paradoxopsyllus,135460,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus acanthus Lewis, 1974",acanthus,,,,ICZN,,,
,Paradoxopsyllus,135490,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus angustisinus Cai Liyun & Wu Wenzhen, 1988",angustisinus,,,,ICZN,,,
,Paradoxopsyllus,135510,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus conveniens Wagner, 1930",conveniens,,,,ICZN,,,
,Paradoxopsyllus,135480,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus alatau Shvarts, 1953",alatau,,,,ICZN,,,
,Paradoxopsyllus,135500,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus calceiforma Zhang Jintong & Liu Chiying, 1985",calceiforma,,,,ICZN,,,
,Paradoxopsyllus,135740,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus liui Liu Quan, Li Zhenghai & Chang Fongbo, 1991",liui,,,,ICZN,,,
,Paradoxopsyllus,135730,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus liae Guo Tian-yu, Liu Quan & Wu Hou-yong, 1994",liae,,,,ICZN,,,
,Paradoxopsyllus,135720,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus latus Chen Ningyu, Wei Shufenf & Liu Quan, 1982",latus,,,,ICZN,,,
,Paradoxopsyllus,135710,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus kalabukhovi Labunets, 1961",kalabukhovi,,,,ICZN,,,
,Paradoxopsyllus,135780,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus microphthalmus Ioff, 1946",microphthalmus,,,,ICZN,,,
,Paradoxopsyllus,135770,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus magnificus Lewis, 1974",magnificus,,,,ICZN,,,
,,x7L,xS,,,ACCEPTED,GENUS,Hopkinsipsylla,,,,,,,,
,Paradoxopsyllus,135750,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus longiprojectus Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",longiprojectus,,,,ICZN,,,
,Paradoxopsyllus,135760,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus longiquadratus Liu Quan, Ge Long & Lan Xiaohui, 1991",longiquadratus,,,,ICZN,,,
,Paradoxopsyllus,135630,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus hollandi Lewis, 1974",hollandi,,,,ICZN,,,
,Paradoxopsyllus,135640,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus inferioprocerus Yu Xin, Cao Hanli & Huang Gongmin, 1987",inferioprocerus,,,,ICZN,,,
,Paradoxopsyllus,135620,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus hesperius Ioff, 1946",hesperius,,,,ICZN,,,
,Paradoxopsyllus,135600,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus grenieri Klein, 1963",grenieri,,,,ICZN,,,
,Paradoxopsyllus,135670,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus intermedius Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",intermedius,,,,ICZN,,,
,Paradoxopsyllus,135680,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus jinshajiangensis Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",jinshajiangensis,,,,ICZN,,,
,Paradoxopsyllus,135690,135680,,,ACCEPTED,INFRASPECIFIC_NAME,"Paradoxopsyllus jinshajiangensis jinshajiangensis Hsieh Paochi, Yang Xueshi & Li Kueichen, 1978",jinshajiangensis,jinshajiangensis,,,ICZN,,,
,Paradoxopsyllus,135700,135680,,,ACCEPTED,INFRASPECIFIC_NAME,"Paradoxopsyllus jinshajiangensis concavus Liu Zhangzonf, Liu Chiying & Zhang Jintong, 1986",jinshajiangensis,concavus,,,ICZN,,,
,Paradoxopsyllus,135660,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus intermedium Guo Tian-yu, Liu Quan & Wu Hou-yong, 1994",intermedium,,,,ICZN,,,
,Paradoxopsyllus,135650,x7A,,,ACCEPTED,SPECIES,"Paradoxopsyllus integer Ioff, 1946",integer,,,,ICZN,,,
,,x76,xS,,,ACCEPTED,GENUS,Phaenopsylla,,,,,,,,
,Phaenopsylla,136010,x76,,,ACCEPTED,SPECIES,"Phaenopsylla tiflovi Ioff, 1950",tiflovi,,,,ICZN,,,
,Phaenopsylla,135950,x76,,,ACCEPTED,SPECIES,"Phaenopsylla aiderensis Medvedev & Alifirenko, 1991",aiderensis,,,,ICZN,,,
,Phaenopsylla,135960,x76,,,ACCEPTED,SPECIES,"Phaenopsylla hopkinsi Lewis, 1973",hopkinsi,,,,ICZN,,,
,Phaenopsylla,135990,x76,,,ACCEPTED,SPECIES,"Phaenopsylla mustersi Jordan, 1944",mustersi,,,,ICZN,,,
,Phaenopsylla,135970,x76,,,ACCEPTED,SPECIES,"Phaenopsylla jordani Lewis, 1973",jordani,,,,ICZN,,,
,Phaenopsylla,136000,x76,,,ACCEPTED,SPECIES,"Phaenopsylla newelli Farhang-Azad, 1972",newelli,,,,ICZN,,,
,Phaenopsylla,135980,x76,,,ACCEPTED,SPECIES,"Phaenopsylla kopetdag Ioff, 1946",kopetdag,,,,ICZN,,,
,,x78,xS,,,ACCEPTED,GENUS,Dolichopsyllus,,,,,,,,
,Dolichopsyllus,136040,x78,,,ACCEPTED,SPECIES,"Dolichopsyllus stylosus (Baker, 1904)",stylosus,,,,ICZN,,,
