"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
305,"Siphonaptera","Ceratophyllidae","Ceratophyllus","arcuegens",NA,"Holland, 1952","species",0,"Ceratophyllus arcuegens","NMNH"
306,"Siphonaptera","Ceratophyllidae","Ceratophyllus","idius",NA,"Jordan & Rothschild, 1920","species",0,"Ceratophyllus idius","NMNH"
307,"Siphonaptera","Ceratophyllidae","Ceratophyllus","scopulorum",NA,"Holland, 1952","species",0,"Ceratophyllus scopulorum","NMNH"
308,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","athabascae","Holland, 1952","subspecies",0,"Amalaraeus dissimilis athabascae","NMNH"
309,"Siphonaptera","Ceratophyllidae","Ceratophyllus","ciliatus","protinus","Jordan, 1929","subspecies",0,"Ceratophyllus ciliatus protinus","NMNH"
310,"Siphonaptera","Ceratophyllidae","Ceratophyllus","celsus","celsus","Jordan, 1929","subspecies",0,"Ceratophyllus celsus celsus","NMNH"
311,"Siphonaptera","Ceratophyllidae","Ceratophyllus","petrochelidoni",NA,"Wagner, 1936","species",0,"Ceratophyllus petrochelidoni","NMNH"
312,"Siphonaptera","Ceratophyllidae","Ceratophyllus","styx","riparius","Jordan & Rothschild, 1920","subspecies",0,"Ceratophyllus styx riparius","NMNH"
313,"Siphonaptera","Ceratophyllidae","Ceratophyllus","diffinis",NA,"Jordan, 1925","species",0,"Ceratophyllus diffinis","NMNH"
314,"Siphonaptera","Ceratophyllidae","Ceratophyllus","garei",NA,"Rothschild, 1902","species",0,"Ceratophyllus garei","NMNH"
315,"Siphonaptera","Ceratophyllidae","Ceratophyllus","sciurorum","sciurorum","Schrank, 1803","subspecies",0,"Ceratophyllus sciurorum sciurorum","NMNH"
316,"Siphonaptera","Ceratophyllidae","Ceratophyllus","lunatus","tundrensis","Holland, 1945","subspecies",0,"Ceratophyllus lunatus tundrensis","NMNH"
317,"Siphonaptera","Ceratophyllidae","Orchopeas","caedens","durus","Jordan, 1929","subspecies",0,"Orchopeas caedens durus","NMNH"
318,"Siphonaptera","Ceratophyllidae","Oropsylla","tuberculata",NA,"","species",0,"Oropsylla tuberculata","NMNH"
319,"Siphonaptera","Ceratophyllidae","Oropsylla","rupestris",NA,"Jordan, 1929","species",0,"Oropsylla rupestris","NMNH"
321,"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis","bitterrootensis","Dunn, 1923","subspecies",0,"Amaradix bitterrootensis bitterrootensis","NMNH"
322,"Siphonaptera","Ceratophyllidae","Orchopeas","howardi",NA,"","species",0,"Orchopeas howardi","NMNH"
323,"Siphonaptera","Ceratophyllidae","Orchopeas","nepos",NA,"Rothschild, 1905","species",0,"Orchopeas nepos","NMNH"
325,"Siphonaptera","Ceratophyllidae","Oropsylla","bruneri",NA,"Baker, 1895","species",0,"Oropsylla bruneri","NMNH"
326,"Siphonaptera","Ceratophyllidae","Oropsylla","labis",NA,"Jordan & Rothschild, 1922","species",0,"Oropsylla labis","NMNH"
327,"Siphonaptera","Ceratophyllidae","Oropsylla","tuberculata","tuberculata","Baker, 1904","subspecies",0,"Oropsylla tuberculata tuberculata","NMNH"
328,"Siphonaptera","Ceratophyllidae","Oropsylla","arctomys",NA,"Baker, 1904","species",0,"Oropsylla arctomys","NMNH"
329,"Siphonaptera","Ceratophyllidae","Tarsopsylla","octodecimdentata","coloradensis","Baker, 1895","subspecies",0,"Tarsopsylla octodecimdentata coloradensis","NMNH"
330,"Siphonaptera","Ceratophyllidae","Thrassis","acamantis","acamantis","Rothschild, 1905","subspecies",0,"Thrassis acamantis acamantis","NMNH"
331,"Siphonaptera","Ceratophyllidae","Thrassis","acamantis",NA,"","species",0,"Thrassis acamantis","NMNH"
332,"Siphonaptera","Ischnopsyllidae","Myodopsylla","insignis",NA,"Rothschild, 1903","species",0,"Myodopsylla insignis","NMNH"
333,"Siphonaptera","Leptopsyllidae","Ctenophyllus","armatus",NA,"","species",0,"Ctenophyllus armatus","NMNH"
334,"Siphonaptera","Ceratophyllidae","Dasypsyllus","gallinulae","perpinnatus","Baker, 1904","subspecies",0,"Dasypsyllus gallinulae perpinnatus","NMNH"
335,"Siphonaptera","Ceratophyllidae","Orchopeas","caedens","caedens","Jordan, 1925","subspecies",0,"Orchopeas caedens caedens","NMNH"
336,"Siphonaptera","Ceratophyllidae","Orchopeas","caedens",NA,"","species",0,"Orchopeas caedens","NMNH"
