"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"FMNH","9",NA,NA,NA,NA,NA,NA,NA,"Amphalius runatus necopinus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Amphalius",NA,"runatus","necopinus","subspecies",NA,"Jordan, 1925",NA,NA,NA,NA,NA,"Amphalius runatus necopinus"
"FMNH","10",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Amonopsyllus) ciliatus ciliatus Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Amonopsyllus","ciliatus","ciliatus","subspecies",NA,"Baker, 1904",NA,NA,NA,NA,NA,"Ceratophyllus ciliatus ciliatus"
"FMNH","11",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Amonopsyllus) ciliatus kincaidi (Hubbard, 1947)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Amonopsyllus","ciliatus","kincaidi","subspecies",NA,"Hubbard, 1947",NA,NA,NA,NA,NA,"Ceratophyllus ciliatus kincaidi"
"FMNH","12",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Amonopsyllus) ciliatus mononis Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Amonopsyllus","ciliatus","mononis","subspecies",NA,"Jordan, 1929",NA,NA,NA,NA,NA,"Ceratophyllus ciliatus mononis"
"FMNH","13",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Amonopsyllus) ciliatus protinus Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Amonopsyllus","ciliatus","protinus","subspecies",NA,"Jordan, 1929",NA,NA,NA,NA,NA,"Ceratophyllus ciliatus protinus"
"FMNH","14",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) adustus Jordan, 1923",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","adustus",NA,"species",NA,"Jordan, 1923",NA,NA,NA,NA,NA,"Ceratophyllus adustus"
"FMNH","15",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) arcuegens Holland, 1952",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","arcuegens",NA,"species",NA,"Holland, 1952",NA,NA,NA,NA,NA,"Ceratophyllus arcuegens"
"FMNH","16",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) celsus celsus Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","celsus","celsus","subspecies",NA,"Jordan, 1929",NA,NA,NA,NA,NA,"Ceratophyllus celsus celsus"
"FMNH","17",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) celsus Jordan, 1926",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","celsus",NA,"species",NA,"Jordan, 1926",NA,NA,NA,NA,NA,"Ceratophyllus celsus"
"FMNH","18",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) gallinae (Schrank, 1803)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","gallinae",NA,"species",NA,"Schrank, 1803",NA,NA,NA,NA,NA,"Ceratophyllus gallinae"
"FMNH","19",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) idius Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","idius",NA,"species",NA,"Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,"Ceratophyllus idius"
"FMNH","20",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) lari Holland, 1951",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","lari",NA,"species",NA,"Holland, 1951",NA,NA,NA,NA,NA,"Ceratophyllus lari"
"FMNH","21",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) niger Fox, 1908",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","niger",NA,"species",NA,"Fox, 1908",NA,NA,NA,NA,NA,"Ceratophyllus niger"
"FMNH","22",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) petrochelidoni Wagner, 1936",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","petrochelidoni",NA,"species",NA,"Wagner, 1936",NA,NA,NA,NA,NA,"Ceratophyllus petrochelidoni"
