"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","id","accid","merge_tag","unique"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","gallinae","kievensis","Wagner, 1930","subspecies","Ceratophyllus gallinae kievensis","Lewis",2731,255,"orig","Lewis255"
"Siphonaptera","Vermipsyllidae","Chaetopsylla","kohauti",NA,"Oudemans, 1910","species","Chaetopsylla kohauti","Lewis",2732,264,"orig","Lewis264"
"Siphonaptera","Vermipsyllidae","Trichopsylla","homoeus","carenis","Jordan, 1932","subspecies","Trichopsylla homoeus carenis","Lewis",2733,268,"orig","Lewis268"
"Siphonaptera","Vermipsyllidae","Pulex","striatus",NA,"Kolenati, 1863","species","Pulex striatus","Lewis",2734,269,"orig","Lewis269"
"Siphonaptera","Vermipsyllidae","Chaetopsylla","nocens",NA,"Ioff, 1946","species","Chaetopsylla nocens","Lewis",2735,276,"orig","Lewis276"
"Siphonaptera","Vermipsyllidae","Cheetopsylla",NA,"kakhetiana","[sic] Savenko, 1949","subspecies","Cheetopsylla kakhetiana","Lewis",2736,278,"orig","Lewis278"
"Siphonaptera","Vermipsyllidae","Chaetopsylla","trichosa","avicenni","Klein, 1963","subspecies","Chaetopsylla trichosa avicenni","Lewis",2737,281,"orig","Lewis281"
"Siphonaptera","Vermipsyllidae","Vermipsylla","strandi",NA,"Wahlgren, 1903","species","Vermipsylla strandi","Lewis",2738,282,"orig","Lewis282"
"Siphonaptera","Chimaeropsyllidae","Chiastopsylla","couchae",NA,"1940","species","Chiastopsylla couchae","Lewis",2739,291,"orig","Lewis291"
"Siphonaptera","Chimaeropsyllidae","Chiastopsylla","numae","klaveriana","1940","subspecies","Chiastopsylla numae klaveriana","Lewis",2740,294,"orig","Lewis294"
"Siphonaptera","Chimaeropsyllidae","Chiastopsylla","octavii","caledonia","1940","subspecies","Chiastopsylla octavii caledonia","Lewis",2741,295,"orig","Lewis295"
"Siphonaptera","Chimaeropsyllidae","Chiastopsylla","caffrarica",NA,"1940","species","Chiastopsylla caffrarica","Lewis",2742,300,"orig","Lewis300"
"Siphonaptera","Ischnopsyllidae","Chiropteropsylla","brockmani","johnsoni","Hubbard, 1956","subspecies","Chiropteropsylla brockmani johnsoni","Lewis",2743,306,"orig","Lewis306"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","tesquorum","dzetysuensis","Mikulin, 951","subspecies","Ceratophyllus tesquorum dzetysuensis","Lewis",2744,311,"orig","Lewis311"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","trispinus","balkhaschensis","Mikulin, 1958","subspecies","Ceratophyllus trispinus balkhaschensis","Lewis",2745,317,"orig","Lewis317"
"Siphonaptera","Coptopsyllidae","Coptopsylla","joannae",NA,"Lewis, 1964","species","Coptopsylla joannae","Lewis",2746,330,"orig","Lewis330"
"Siphonaptera","Ctenophthalmidae","Doratopsylla","ochotonae",NA,"Kishida, 1932","species","Doratopsylla ochotonae","Lewis",2747,347,"orig","Lewis347"
"Siphonaptera","Ctenophthalmidae","Corypsylloides","kohlsi",NA,"Hubbard, 1940","species","Corypsylloides kohlsi","Lewis",2748,350,"orig","Lewis350"
"Siphonaptera","Ctenophthalmidae","Corypsylla","setosifrons",NA,"Stewart, 1940","species","Corypsylla setosifrons","Lewis",2749,351,"orig","Lewis351"
"Siphonaptera","Pulicidae","Ctenocephalides","arabicus","multispinosus","Smit, 1960","subspecies","Ctenocephalides arabicus multispinosus","Lewis",2750,363,"orig","Lewis363"
"Siphonaptera","Pulicidae","Pulex","canis",NA,"Curtis, 1826","species","Pulex canis","Lewis",2751,365,"orig","Lewis365"
"Siphonaptera","Pulicidae","Ctenocephalides","caprae",NA,"Ioff, 1953","species","Ctenocephalides caprae","Lewis",2752,372,"orig","Lewis372"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmus","segregus",NA,"Jordan, 1937","species","Ctenophthalmus segregus","Lewis",2753,392,"orig","Lewis392"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmus","costai","libanensis","Lewis, 1970","subspecies","Ctenophthalmus costai libanensis","Lewis",2754,406,"orig","Lewis406"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmus","lydiae",NA,"Lewis, 1970","species","Ctenophthalmus lydiae","Lewis",2755,430,"orig","Lewis430"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmus","agyrtes","hispanus","Jordan, 1938","subspecies","Ctenophthalmus agyrtes hispanus","Lewis",2756,437,"orig","Lewis437"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmus","phrator",NA,"Jordan, 1929","species","Ctenophthalmus phrator","Lewis",2757,440,"orig","Lewis440"
"Siphonaptera","Ctenophthalmidae","Euctenophthalmus","obtusus","recurvus","Peus, 1951","subspecies","Euctenophthalmus obtusus recurvus","Lewis",2758,466,"orig","Lewis466"
"Siphonaptera","Ctenophthalmidae","Euctenophthalmus","orientalis","kratochvili","Jurik, 1955","subspecies","Euctenophthalmus orientalis kratochvili","Lewis",2759,469,"orig","Lewis469"
"Siphonaptera","Ctenophthalmidae","Ctenophthalmu","ruris","karamani","Wagner, 1936","subspecies","Ctenophthalmu ruris karamani","Lewis",2760,486,"orig","Lewis486"
"Siphonaptera","Ctenophthalmidae","Pulex","typhlus",NA,"Victor, 1840","species","Pulex typhlus","Lewis",2761,491,"orig","Lewis491"
"Siphonaptera","Ceratophyllidae","Dasypsyllus","monicae",NA,"Capri, 1960","species","Dasypsyllus monicae","Lewis",2762,530,"orig","Lewis530"
"Siphonaptera","Leptopsyllidae","Mesopsylla","rothschildi",NA,"Argyropulo, 1938","species","Mesopsylla rothschildi","Lewis",2763,546,"orig","Lewis546"
"Siphonaptera","Ctenophthalmidae","Dinopsyllus","eremus",NA,"Jordan & Rothschild, 1913","species","Dinopsyllus eremus","Lewis",2764,548,"orig","Lewis548"
"Siphonaptera","Pulicidae","Sarcopsylla","gallinacea","erinacea","Weiss, 1911","subspecies","Sarcopsylla gallinacea erinacea","Lewis",2765,594,"orig","Lewis594"
"Siphonaptera","Pulicidae","Sarcopsylla","gallinacea","italica","Tiraboschi, 1903","subspecies","Sarcopsylla gallinacea italica","Lewis",2766,599,"orig","Lewis599"
"Siphonaptera","Rhopalopsyllidae","Ectinorus","onychius","angularis","Smit & Rosicky, 1987","subspecies","Ectinorus onychius angularis","Lewis",2767,610,"orig","Lewis610"
"Siphonaptera","Rhopalopsyllidae","Parapsyllus","boudini",NA,"Jordan & Rothschild, 1923","species","Parapsyllus boudini","Lewis",2768,612,"orig","Lewis612"
"Siphonaptera","Rhopalopsyllidae","Ectinorus","onychius","deplexus","Smit, 1987","subspecies","Ectinorus onychius deplexus","Lewis",2769,617,"orig","Lewis617"
"Siphonaptera","Rhopalopsyllidae","Ectinorus","onychius","fueginus","Jordan, 1942","subspecies","Ectinorus onychius fueginus","Lewis",2770,636,"orig","Lewis636"
