"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF, CoL","1418781",NA,1418780,"1418775",NA,NA,NA,NA,"Rhadinopsylla kobayashii (Nagahana, 1954)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"kobayashii",NA,"species",NA,"(Nagahana, 1954)",NA,NA,"synonym",NA,NA,"Rhadinopsylla kobayashii"
"GBIF, CoL","1418782",NA,1418780,"1418775",NA,NA,NA,NA,"Rhadinopsylla shanghaiensis Liu & Chu, 1957",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"shanghaiensis",NA,"species",NA,"Liu & Chu, 1957",NA,NA,"synonym",NA,NA,"Rhadinopsylla shanghaiensis"
"GBIF, CoL","1418857",NA,1418856,"1418775",NA,NA,NA,NA,"Rhadinopsylla hamiltoni Dunn, 1923",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Rhadinopsylla",NA,"hamiltoni",NA,"species",NA,"Dunn, 1923",NA,NA,"synonym",NA,NA,"Rhadinopsylla hamiltoni"
"GBIF, CoL","7198709",NA,NA,"1419340",NA,NA,NA,NA,"Euchoplopsyllus glacialis glacialis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"glacialis","glacialis","subspecies",NA,"(Taschenberg, 1880)",NA,NA,"accepted",NA,NA,"Euchoplopsyllus glacialis glacialis"
"GBIF","4481000",NA,1419340,"1419339",NA,NA,NA,NA,"Pulex glacialis Taschenberg, 1880",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"glacialis",NA,"species",NA,"Taschenberg, 1880",NA,NA,"homotypic synonym",NA,"Originally found in sources as homotypic synonym of Euhoplopsyllus glacialis (Taschenberg, 1880)","Pulex glacialis"
"GBIF, NMNH, FMNH","4480999",NA,1419340,"1419339",4481000,NA,NA,NA,"Euhoplopsyllus glacialis (Taschenberg, 1880)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"glacialis",NA,"species",NA,"(Taschenberg, 1880)",NA,NA,"homotypic synonym",NA,"Originally found in sources as accepted taxon within Euhoplopsyllus Ewing, 1940","Euhoplopsyllus glacialis"
"GBIF, CoL","1419344",NA,1419340,"1419339",NA,NA,NA,NA,"Euchoplopsyllus asiaticus (Wang & Liao, 1961)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"asiaticus",NA,"species",NA,"(Wang & Liao, 1961)",NA,NA,"synonym",NA,NA,"Euchoplopsyllus asiaticus"
"GBIF, CoL","6194458",NA,NA,"1419340",NA,NA,NA,NA,"Euchoplopsyllus glacialis profugus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,"Euchoplopsyllus",NA,"glacialis","profugus","subspecies",NA,"(Jordan, 1925)",NA,NA,"accepted",NA,NA,"Euchoplopsyllus glacialis profugus"
"GBIF, CoL","6194137",NA,NA,"1417038",NA,NA,NA,NA,"Paraceras flabellum sinensis Liu, 1935",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Paraceras",NA,"flabellum","sinensis","subspecies",NA,"Liu, 1935",NA,NA,"accepted",NA,NA,"Paraceras flabellum sinensis"
"GBIF, CoL","1416420",NA,1416419,"1416402",NA,NA,NA,NA,"Polygenis sigmodoni Stewart, 1930",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"sigmodoni",NA,"species",NA,"Stewart, 1930",NA,NA,"synonym",NA,NA,"Polygenis sigmodoni"
"GBIF","4770089",NA,NA,"5324",NA,NA,NA,NA,"Hexactenopsylla Oudemans, 1909",NA,NA,NA,NA,"Ent. Ber. Nederl. Ver., 3, no. 49",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Hexactenopsylla",NA,NA,NA,"genus",NA,"Oudemans, 1909",NA,NA,"doubtful",NA,NA,"Hexactenopsylla"
"GBIF","9580387",NA,NA,"5324",NA,NA,NA,NA,"Arixenia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Arixenia",NA,NA,NA,"genus",NA,NA,NA,NA,"doubtful",NA,NA,"Arixenia"
"GBIF, CoL","6194356",NA,1417319,"1417236",NA,NA,NA,NA,"Nosopsyllus medus stylifer (Peus, 1978)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Nosopsyllus",NA,"medus","stylifer","subspecies",NA,"(Peus, 1978)",NA,NA,"synonym",NA,NA,"Nosopsyllus medus stylifer"
"GBIF, CoL","1419259",NA,1419258,"1419255",NA,NA,NA,NA,"Corypsylloides setosifrons Stewart, 1940",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Corypsylla",NA,"setosifrons",NA,"species",NA,"Stewart, 1940",NA,NA,"synonym",NA,NA,"Corypsylloides setosifrons"
"GBIF, CoL","1417490",NA,1417488,"1417474",NA,NA,NA,NA,"Myodopsylloides notialis Jordan, 1937",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae",NA,"Myodopsylla",NA,"notialis",NA,"species",NA,"Jordan, 1937",NA,NA,"synonym",NA,NA,"Myodopsylloides notialis"
