"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis, CoL, GBIF",2279,NA,NA,NA,NA,NA,NA,NA,"Vermipsylla perplexa centrolasia Liu, Wu & Wu, 1982",NA,"Vermipsylla perplexa",NA,NA,NA,1982,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae",NA,"Vermipsylla",NA,"perplexa","centrolasia","subspecies",NA,"Liu, Wu & Wu, 1982",NA,"ICZN","accepted",NA,NA,"Vermipsylla perplexa centrolasia"
"Lewis, CoL, GBIF",2280,NA,NA,NA,NA,NA,NA,NA,"Vermipsylla perplexa perplexa Smit, 1975",NA,"Vermipsylla perplexa",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Vermipsyllidae",NA,"Vermipsylla",NA,"perplexa","perplexa","subspecies",NA,"Smit, 1975",NA,"ICZN","accepted",NA,NA,"Vermipsylla perplexa perplexa"
"Lewis, CoL, GBIF",2295,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla phaiomydis iskul Shvarts, 1953",NA,"Amphipsylla phaiomydis",NA,NA,NA,1953,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Amphipsylla",NA,"phaiomydis","iskul","subspecies",NA,"Shvarts, 1953",NA,"ICZN","accepted",NA,NA,"Amphipsylla phaiomydis iskul"
"Lewis, CoL, GBIF",2296,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla phaiomydis limonia Smit, 1977",NA,"Amphipsylla phaiomydis",NA,NA,NA,1977,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Amphipsylla",NA,"phaiomydis","limonia","subspecies",NA,"Smit, 1977",NA,"ICZN","accepted",NA,NA,"Amphipsylla phaiomydis limonia"
"Lewis, CoL, GBIF",2297,NA,NA,NA,NA,NA,NA,NA,"Amphipsylla phaiomydis phaiomydis Ioff, 1946",NA,"Amphipsylla phaiomydis",NA,NA,NA,1946,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Amphipsyllinae","Amphipsylla",NA,"phaiomydis","phaiomydis","subspecies",NA,"Ioff, 1946",NA,"ICZN","accepted",NA,NA,"Amphipsylla phaiomydis phaiomydis"
"Lewis, CoL, GBIF, NMNH",2298,NA,NA,NA,NA,NA,NA,NA,"Medwayella phangi phangi Traub, 1972",NA,"Medwayella phangi",NA,NA,NA,1972,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Medwayella",NA,"phangi","phangi","subspecies",NA,"Traub, 1972",NA,"ICZN","accepted",NA,NA,"Medwayella phangi phangi"
"Lewis, CoL, GBIF",2299,NA,NA,NA,NA,NA,NA,NA,"Medwayella phangi tana Traub, 1972",NA,"Medwayella phangi",NA,NA,NA,1972,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Medwayella",NA,"phangi","tana","subspecies",NA,"Traub, 1972",NA,"ICZN","accepted",NA,NA,"Medwayella phangi tana"
"Lewis, CoL, GBIF",2301,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus philippovi philippovi (Zagniborodova & Mikulin, 1957)",NA,"Nosopsyllus philippovi",NA,NA,NA,1957,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Nosopsyllus",NA,"philippovi","philippovi","subspecies",NA,"(Zagniborodova & Mikulin, 1957)",NA,"ICZN","accepted",NA,NA,"Nosopsyllus philippovi philippovi"
"Lewis, CoL, GBIF, NMNH",2302,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus philippovi rashtii Farhang-Azad, 1970",NA,"Nosopsyllus philippovi",NA,NA,NA,1970,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Nosopsyllus",NA,"philippovi","rashtii","subspecies",NA,"Farhang-Azad, 1970",NA,"ICZN","accepted",NA,NA,"Nosopsyllus philippovi rashtii"
"Lewis, CoL, GBIF",2324,NA,NA,NA,NA,NA,NA,NA,"Afristivalius pirloti angolae (Ribeiro, 1975)",NA,"Afristivalius pirloti",NA,NA,NA,1975,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae",NA,"Afristivalius",NA,"pirloti","angolae","subspecies",NA,"(Ribeiro, 1975)",NA,"ICZN","accepted",NA,NA,"Afristivalius pirloti angolae"
