"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
1419001,"7ddf754f-d193-4cc9-b351-99906754a03b",1419000,NA,NA,"Adoratopsylla sinuata Guimaraes, 1945","Guimaraes, 1945","Adoratopsylla sinuata","Adoratopsylla","sinuata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla"
1416847,"7ddf754f-d193-4cc9-b351-99906754a03b",1416846,NA,NA,"Aenigmopsylla grodekovi Sychevsky, 1950","Sychevsky, 1950","Aenigmopsylla grodekovi","Aenigmopsylla","grodekovi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aenigmopsylla"
1416899,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,NA,NA,"Aetheca thamba (Jordan, 1929)","(Jordan, 1929)","Aetheca thamba","Aetheca","thamba",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
1416894,"7ddf754f-d193-4cc9-b351-99906754a03b",1416893,NA,"9155269","Aetheca wagneri (Baker, 1904)","(Baker, 1904)","Aetheca wagneri","Aetheca","wagneri",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aetheca"
1416941,"0938172b-2086-439c-a1dd-c21cb0109ed5",8846,NA,NA,"Aethopsylla",NA,"Aethopsylla","Aethopsylla",NA,NA,"genus",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Aethopsylla"
1416875,"7ddf754f-d193-4cc9-b351-99906754a03b",1416848,"1416874",NA,"Aethopsylla septentrionalis (Stewart & Holland, 1940)","(Stewart & Holland, 1940)","Aethopsylla septentrionalis","Aethopsylla","septentrionalis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Oropsylla"
1419677,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius afer (Rothschild, 1908)","(Rothschild, 1908)","Afristivalius afer","Afristivalius","afer",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419679,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius azevedoi (Ribeiro, 1975)","(Ribeiro, 1975)","Afristivalius azevedoi","Afristivalius","azevedoi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419684,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius curtiductus (Smit, 1958)","(Smit, 1958)","Afristivalius curtiductus","Afristivalius","curtiductus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419687,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius fallaciosus (Smit, 1958)","(Smit, 1958)","Afristivalius fallaciosus","Afristivalius","fallaciosus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
9022621,"c8227bb4-4143-443f-8cb2-51f9576aff14",1419676,NA,NA,"Afristivalius hartorum Beaucournu, Mutombo & Laudisoit, 2015","Beaucournu, Mutombo & Laudisoit, 2015","Afristivalius hartorum","Afristivalius","hartorum",NA,"species",NA,"Beaucournu, Jean-Claude, Patrick Mutombo & Anne Laudisoit. 2015. Un nouvel Afristivalius de la République démocratique du Congo (Siphonaptera, Pygiopsyllidae, Stivaliinae). Bulletin de la Société Entomologique de France 120(4): 435-440.","doubtful",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419680,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius nigeriensis (Jordan, 1938)","(Jordan, 1938)","Afristivalius nigeriensis","Afristivalius","nigeriensis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419685,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius parilis (Smit, 1958)","(Smit, 1958)","Afristivalius parilis","Afristivalius","parilis",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
