"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
43,"Siphonaptera","Ceratophyllidae","Aetheca","thamba",NA,"species",0,"Aetheca thamba","Lewis, CoL, NMNH, GBIF"
44,"Siphonaptera","Ceratophyllidae","Aetheca","wagneri",NA,"species",0,"Aetheca wagneri","Lewis, CoL, NMNH, FMNH, GBIF"
3445,"Siphonaptera","Ceratophyllidae","Aetheca","wagneri","kylei","subspecies",44,"Aetheca wagneri kylei","CoL, GBIF"
3446,"Siphonaptera","Ceratophyllidae","Aetheca","wagneri","ophidius","subspecies",44,"Aetheca wagneri ophidius","CoL, GBIF"
3447,"Siphonaptera","Ceratophyllidae","Aetheca","wagneri","systaltus","subspecies",44,"Aetheca wagneri systaltus","CoL, GBIF"
5362,"Siphonaptera",NA,"Aethopsylla","acutus",NA,"species",1859,"Aethopsylla acutus","CoL"
5357,"Siphonaptera",NA,"Aethopsylla","bertholfi",NA,"species",1856,"Aethopsylla bertholfi","CoL"
5368,"Siphonaptera",NA,"Aethopsylla","crassus",NA,"species",1862,"Aethopsylla crassus","CoL"
342,"Siphonaptera",NA,"Aethopsylla","elana",NA,"species",2613,"Aethopsylla elana","CoL"
5363,"Siphonaptera",NA,"Aethopsylla","hopkinsi",NA,"species",1859,"Aethopsylla hopkinsi","CoL"
5358,"Siphonaptera",NA,"Aethopsylla","poeantis",NA,"species",1856,"Aethopsylla poeantis","CoL"
5354,"Siphonaptera",NA,"Aethopsylla","saundersi",NA,"species",1854,"Aethopsylla saundersi","CoL"
5369,"Siphonaptera",NA,"Aethopsylla","segregatus",NA,"species",1862,"Aethopsylla segregatus","CoL"
2946,"Siphonaptera","Ceratophyllidae","Aethopsylla","septentrionalis",NA,"species",1853,"Aethopsylla septentrionalis","Lewis, CoL"
348,"Siphonaptera",NA,"Aethopsylla","stejnegeri",NA,"species",2613,"Aethopsylla stejnegeri","CoL"
45,"Siphonaptera","Stivaliidae","Afristivalius","afer",NA,"species",0,"Afristivalius afer","Lewis, CoL, GBIF"
46,"Siphonaptera","Stivaliidae","Afristivalius","azevedoi",NA,"species",0,"Afristivalius azevedoi","Lewis, CoL, GBIF"
3449,"Siphonaptera","Stivaliidae","Afristivalius","cacuminis",NA,"species",45,"Afristivalius cacuminis","CoL, GBIF"
47,"Siphonaptera","Stivaliidae","Afristivalius","curtiductus",NA,"species",0,"Afristivalius curtiductus","Lewis, CoL, GBIF"
