"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","merge_tag","id","accid"
"Siphonaptera","Ceratophyllidae","Callopsylla","kazbegiensis",NA,"Goncharov, 1980","species","Callopsylla kazbegiensis","Lewis","orig",169,0
"Siphonaptera","Ceratophyllidae","Callopsylla","kaznakovi",NA,"(Wagner, 1928)","species","Callopsylla kaznakovi","Lewis","orig",170,0
"Siphonaptera","Ceratophyllidae","Callopsylla","kozlovi",NA,"(Wagner, 1928)","species","Callopsylla kozlovi","Lewis","orig",171,0
"Siphonaptera","Ceratophyllidae","Callopsylla","lagomys",NA,"(Wagner, 1898)","species","Callopsylla lagomys","Lewis","orig",172,0
"Siphonaptera","Ceratophyllidae","Callopsylla","liui",NA,"Li, Wu & Yang, 1989","species","Callopsylla liui","Lewis","orig",173,0
"Siphonaptera","Ceratophyllidae","Callopsylla","longispina",NA,"Zhang & Yu, 1988","species","Callopsylla longispina","Lewis","orig",174,0
"Siphonaptera","Ceratophyllidae","Callopsylla","mygala",NA,"(Lewis, 1971)","species","Callopsylla mygala","Lewis","orig",175,0
"Siphonaptera","Ceratophyllidae","Callopsylla","oreinus",NA,"(Jordan, 1937)","species","Callopsylla oreinus","Lewis","orig",176,0
"Siphonaptera","Ceratophyllidae","Callopsylla","petaurista",NA,"Tsai, Wu & Liu, 1974","species","Callopsylla petaurista","Lewis","orig",177,0
"Siphonaptera","Ceratophyllidae","Callopsylla","qinghaiensis",NA,"Wang, Li & Cai, 1997","species","Callopsylla qinghaiensis","Lewis","orig",178,0
"Siphonaptera","Ceratophyllidae","Callopsylla","saxatilis",NA,"(Ioff & Argyropulo, 1934)","species","Callopsylla saxatilis","Lewis","orig",179,0
"Siphonaptera","Ceratophyllidae","Callopsylla","semenovi",NA,"(Ioff, 1936)","species","Callopsylla semenovi","Lewis","orig",180,0
"Siphonaptera","Ceratophyllidae","Callopsylla","streeti",NA,"Lewis, 1973","species","Callopsylla streeti","Lewis","orig",181,0
"Siphonaptera","Ceratophyllidae","Callopsylla","waterstoni",NA,"(Jordan, 1925)","species","Callopsylla waterstoni","Lewis","orig",182,0
"Siphonaptera","Ceratophyllidae","Callopsylla","xizngensis",NA,"Go & Ma, 1992","species","Callopsylla xizngensis","Lewis","orig",183,0
"Siphonaptera","Ceratophyllidae","Callopsylla","xui",NA,"Wu, Guo & Liu, 1996","species","Callopsylla xui","Lewis","orig",184,0
"Siphonaptera","Ceratophyllidae","Callopsylla","yui",NA,"ye & Jiang, 1990","species","Callopsylla yui","Lewis","orig",185,0
"Siphonaptera","Ceratophyllidae","Callopsylla","zhangi",NA,"Wu, Guo & Liu, 1996","species","Callopsylla zhangi","Lewis","orig",186,0
"Siphonaptera","Ctenophthalmidae","Carteretta","carteri",NA,"C. Fox, 1927","species","Carteretta carteri","Lewis","orig",187,0
"Siphonaptera","Ctenophthalmidae","Carteretta","clavata",NA,"Good, 1942","species","Carteretta clavata","Lewis","orig",188,0
