"family","subfamily","genus","species","author","namePublishedInYear","synonym.s.","TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","higherClassification","kingdom","phylum","class","order","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla",NA,"Jordan & Rothschild",1912,"Rectofrontia Wagner, 1930 (synonym of subgenus Actenophthalmus); Rangulpsylla Darskaya, 1949 (synonym of subgenus Actenophthalmus)","Lewis",360,"Lewis360",NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla Jordan & Rothschild, 1912",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1912",NA,NA,"accepted",NA,NA,"Rhadinopsylla"
"Tungidae",NA,"Hectopsylla",NA,"Barrera",1952,"Rhynchopsyllus Haller, 1880; Hectoropsylla Oudemans, 1906; Maxilliopsylla Schreiter & Shannon, 1927","Lewis",374,"Lewis374",NA,NA,NA,NA,NA,NA,NA,"Hectopsylla Barrera, 1952",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Barrera, 1952",NA,NA,"accepted",NA,NA,"Hectopsylla"
"Rhopalopsyllidae","Rhopalopsyllinae","Rhopalopsyllus",NA,"Baker",1905,"Rothschildella Enderlein, 1912","Lewis",375,"Lewis375",NA,NA,NA,NA,NA,NA,NA,"Rhopalopsyllus Baker, 1905",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Baker, 1905",NA,NA,"accepted",NA,NA,"Rhopalopsyllus"
"Hystrichopsyllidae","Hystrichopsyllinae","Atyphloceras",NA,"Jordan & Rothschild",1915,"Saphiopsylla Jordan, 1931","Lewis",376,"Lewis376",NA,NA,NA,NA,NA,NA,NA,"Atyphloceras Jordan & Rothschild, 1915",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Jordan & Rothschild, 1915",NA,NA,"accepted",NA,NA,"Atyphloceras"
"Ctenophthalmidae","Ctenophthalminae","Ctenophthalmus",NA,"Kolenati",1856,"Spalacopsylla Kolenati, 1856 (junior synonym)","Lewis",380,"Lewis380",NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus Kolenati, 1856",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Kolenati, 1856",NA,NA,"accepted",NA,NA,"Ctenophthalmus"
"Ctenophthalmidae","Doratopsyllinae","Adoratopsylla",NA,"Ewing",1925,"Spalacopsylla Pinto, 1930 (junior synonym)","Lewis",381,"Lewis381",NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla Ewing, 1925",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ewing, 1925",NA,NA,"accepted",NA,NA,"Adoratopsylla"
"Ceratophyllidae","Ceratophyllinae","Amalaraeus",NA,"Ioff",1936,"Trichopsylla Kolenati, 1863; Trichopsylla Jordan & Rothschild, 1920 (junior homonym of Trichopsylla Kolenati, 1863); Trichopsylla Ewing & Fox, 1943 (junior homonym of Trichopsylla Kolenati, 1863)","Lewis",404,"Lewis404",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus Ioff, 1936",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,NA,NA,"genus",NA,"Ioff, 1936",NA,NA,"accepted",NA,NA,"Amalaraeus"
"Ceratophyllidae","Ceratophyllinae","Amalaraeus","arvicolae","(Ioff)",1948,"Amalaraeus arvicolae furkotensis Rosicky, 1955; Malaraeus penicilliger dioplesius Peus, 1958; Malaraeus arvicolae smitianus Rosicky, 1959","Lewis",1,"Lewis1",NA,NA,NA,NA,NA,NA,NA,"Amalaraeus arvicolae (Ioff, 1948)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"arvicolae",NA,"species",NA,"(Ioff, 1948)",NA,NA,"accepted",NA,NA,"Amalaraeus arvicolae"
"Ceratophyllidae","Ceratophyllinae","Aetheca","wagneri","(Baker)",1904,"Ceratohyllus peromysci Stewart, 1928; Ceratophyllus wagneri ophidius Jordan, 1929; Ceratophyllus wagneri systaltus Jordan, 1929; Monopsyllus wagneri kylei Hubbard, 1949","Lewis",2,"Lewis2",NA,NA,NA,NA,NA,NA,NA,"Aetheca wagneri (Baker, 1904)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"wagneri",NA,"species",NA,"(Baker, 1904)",NA,NA,"accepted",NA,NA,"Aetheca wagneri"
"Ceratophyllidae","Ceratophyllinae","Citellophilus","trispinus","(Wagner & Ioff)",1926,"Ceratophyllus trispinus balkhaschensis Mikulin, 1958","Lewis",4,"Lewis4",NA,NA,NA,NA,NA,NA,NA,"Citellophilus trispinus (Wagner & Ioff, 1926)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"trispinus",NA,"species",NA,"(Wagner & Ioff, 1926)",NA,NA,"accepted",NA,NA,"Citellophilus trispinus"
"Pygiopsyllidae",NA,"Acanthopsylla","enderleini","(Wagner)",1933,"Gluertidos divergens Smt, 1953; Gluertidos aiyurensis Holland, 1969; Gluertidos monticola Holland, 1969","Lewis",5,"Lewis5",NA,NA,NA,NA,NA,NA,NA,"Acanthopsylla enderleini (Wagner, 1933)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera",NA,"enderleini",NA,"species",NA,"(Wagner, 1933)",NA,NA,"accepted",NA,NA,"Acanthopsylla enderleini"
