"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",258,NA,NA,NA,NA,NA,NA,NA,NA,"Echidnophaga aethiops Jordan & Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Echidnophaga",NA,"aethiops",NA,"species",NA,"Jordan & Rothschild, 1906",NA,NA,NA,NA,NA,"Echidnophaga aethiops"
"NMNH",259,NA,NA,NA,NA,NA,NA,NA,NA,"Echidnophaga larina Jordan & Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Echidnophaga",NA,"larina",NA,"species",NA,"Jordan & Rothschild, 1906",NA,NA,NA,NA,NA,"Echidnophaga larina"
"NMNH",261,NA,NA,NA,NA,NA,NA,NA,NA,"Pariodontis riggenbachi riggenbachi (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Pariodontis",NA,"riggenbachi","riggenbachi","subspecies",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Pariodontis riggenbachi riggenbachi"
"NMNH",262,NA,NA,NA,NA,NA,NA,NA,NA,"Procaviopsylla isidis (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Procaviopsylla",NA,"isidis",NA,"species",NA,"Rothschild, 1903",NA,NA,NA,NA,NA,"Procaviopsylla isidis"
"NMNH",264,NA,NA,NA,NA,NA,NA,NA,NA,"Synosternus caffer (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Synosternus",NA,"caffer",NA,"species",NA,"Jordan & Rothschild, 1923",NA,NA,NA,NA,NA,"Synosternus caffer"
"NMNH",266,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla bechuanae Demeillon, 1947",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"bechuanae",NA,"species",NA,"Demeillon, 1947",NA,NA,NA,NA,NA,"Xenopsylla bechuanae"
"NMNH",267,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla brasiliensis (Baker, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"brasiliensis",NA,"species",NA,"Baker, 1904",NA,NA,NA,NA,NA,"Xenopsylla brasiliensis"
"NMNH",268,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla hipponax Demeillon, 1942",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"hipponax",NA,"species",NA,"Demeillon, 1942",NA,NA,NA,NA,NA,"Xenopsylla hipponax"
"NMNH",269,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla mulleri Demeillon, 1947",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"mulleri",NA,"species",NA,"Demeillon, 1947",NA,NA,NA,NA,NA,"Xenopsylla mulleri"
"NMNH",270,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla philoxera Hopkins, 1949",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"philoxera",NA,"species",NA,"Hopkins, 1949",NA,NA,NA,NA,NA,"Xenopsylla philoxera"
