"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
"125","Siphonaptera","Ceratophyllidae","Spicata","monticola",NA,"Prince, 1945","species",0,"Spicata monticola","FMNH"
"126","Siphonaptera","Ceratophyllidae","Tarsopsylla","octodecimdentata","coloradensis","Baker, 1895","subspecies",0,"Tarsopsylla octodecimdentata coloradensis","FMNH"
"127","Siphonaptera","Ceratophyllidae","Thrassis","acamantis",NA,"","species",0,"Thrassis acamantis","FMNH"
"128","Siphonaptera","Ceratophyllidae","Thrassis","acamantis","acamantis","Rothschild, 1905","subspecies",0,"Thrassis acamantis acamantis","FMNH"
"129","Siphonaptera","Ceratophyllidae","Thrassis","acamantis","howelli","Jordan, 1925","subspecies",0,"Thrassis acamantis howelli","FMNH"
"130","Siphonaptera","Ceratophyllidae","Thrassis","acamantis","medius","Stark, 1970","subspecies",0,"Thrassis acamantis medius","FMNH"
"131","Siphonaptera","Ceratophyllidae","Thrassis","acamantis","pristinus","Stark, 1957","subspecies",0,"Thrassis acamantis pristinus","FMNH"
"132","Siphonaptera","Ceratophyllidae","Thrassis","acamantis","utahensis","Wagner, 1936","subspecies",0,"Thrassis acamantis utahensis","FMNH"
"133","Siphonaptera","Ceratophyllidae","Thrassis","aridis","campestris","Prince, 1944","subspecies",0,"Thrassis aridis campestris","FMNH"
"134","Siphonaptera","Ceratophyllidae","Thrassis","bacchi","johnsoni","Hubbard, 1949","subspecies",0,"Thrassis bacchi johnsoni","FMNH"
"135","Siphonaptera","Ceratophyllidae","Thrassis","bacchi","pansus","Jordan, 1925","subspecies",0,"Thrassis bacchi pansus","FMNH"
"136","Siphonaptera","Ceratophyllidae","Thrassis","fotus",NA,"Jordan, 1925","species",0,"Thrassis fotus","FMNH"
"137","Siphonaptera","Ceratophyllidae","Thrassis","francisi",NA,"","species",0,"Thrassis francisi","FMNH"
"138","Siphonaptera","Ceratophyllidae","Thrassis","pandorae","pandorae","Jellison, 1937","subspecies",0,"Thrassis pandorae pandorae","FMNH"
"139","Siphonaptera","Ceratophyllidae","Thrassis","petiolatus",NA,"","species",0,"Thrassis petiolatus","FMNH"
"140","Siphonaptera","Ceratophyllidae","Thrassis","stanfordi",NA,"Wagner, 1936","species",0,"Thrassis stanfordi","FMNH"
"142","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","amphibolus",NA,"Wagner, 1936","species",0,"Anomiopsyllus amphibolus","FMNH"
"143","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","falsicalifornicus","congruens","Stewart, 1940","subspecies",0,"Anomiopsyllus falsicalifornicus congruens","FMNH"
"144","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","falsicalifornicus",NA,"Fox, 1929","species",0,"Anomiopsyllus falsicalifornicus","FMNH"
"145","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","montanus",NA,"Collins, 1935","species",0,"Anomiopsyllus montanus","FMNH"
"146","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","novomexicanensis",NA,"Williams & Hoff, 1951","species",0,"Anomiopsyllus novomexicanensis","FMNH"
"147","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","nudatus",NA,"","species",0,"Anomiopsyllus nudatus","FMNH"
"148","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","nudatus","hiemalis","Eads & Menzies, 1948","subspecies",0,"Anomiopsyllus nudatus hiemalis","FMNH"
"149","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","nudatus","mexicanus","Holland, 1965","subspecies",0,"Anomiopsyllus nudatus mexicanus","FMNH"
"151","Siphonaptera","Hystrichopsyllidae","Anomiopsyllus","walkeri",NA,"Barnes, 1965","species",0,"Anomiopsyllus walkeri","FMNH"
"152","Siphonaptera","Hystrichopsyllidae","Atyphloceras","bishopi",NA,"Jordan, 1933","species",0,"Atyphloceras bishopi","FMNH"
"153","Siphonaptera","Hystrichopsyllidae","Atyphloceras","echis","echis","Jordan & Rothschild, 1915","subspecies",0,"Atyphloceras echis echis","FMNH"
"154","Siphonaptera","Hystrichopsyllidae","Atyphloceras","echis","longipalpus","Stewart, 1940","subspecies",0,"Atyphloceras echis longipalpus","FMNH"
"155","Siphonaptera","Hystrichopsyllidae","Atyphloceras","multidentatus","multidentatus","Fox, 1909","subspecies",0,"Atyphloceras multidentatus multidentatus","FMNH"
"157","Siphonaptera","Hystrichopsyllidae","Callistopsyllus","terinus","terinus","Rothschild, 1905","subspecies",0,"Callistopsyllus terinus terinus","FMNH"
"158","Siphonaptera","Hystrichopsyllidae","Carteretta","carteri",NA,"Fox, 1927","species",0,"Carteretta carteri","FMNH"
"159","Siphonaptera","Hystrichopsyllidae","Catallagia","borealis",NA,"Ewing, 1929","species",0,"Catallagia borealis","FMNH"
"160","Siphonaptera","Hystrichopsyllidae","Catallagia","charlottensis",NA,"Baker, 1898","species",0,"Catallagia charlottensis","FMNH"
"161","Siphonaptera","Hystrichopsyllidae","Catallagia","dacenkoi","fulleri","Holland, 1951","subspecies",0,"Catallagia dacenkoi fulleri","FMNH"
"162","Siphonaptera","Hystrichopsyllidae","Catallagia","decipiens",NA,"Rothschild, 1915","species",0,"Catallagia decipiens","FMNH"
"163","Siphonaptera","Hystrichopsyllidae","Catallagia","duffneri",NA,"Lewis & Haas, 2001","species",0,"Catallagia duffneri","FMNH"
"164","Siphonaptera","Hystrichopsyllidae","Catallagia","mathesoni",NA,"Jameson, 1950","species",0,"Catallagia mathesoni","FMNH"
"165","Siphonaptera","Hystrichopsyllidae","Catallagia","sculleni",NA,"","species",0,"Catallagia sculleni","FMNH"
"166","Siphonaptera","Hystrichopsyllidae","Catallagia","sculleni","chamberlini","Hubbard, 1940","subspecies",0,"Catallagia sculleni chamberlini","FMNH"
"167","Siphonaptera","Hystrichopsyllidae","Catallagia","sculleni","sculleni","Hubbard, 1940","subspecies",0,"Catallagia sculleni sculleni","FMNH"
"169","Siphonaptera","Hystrichopsyllidae","Catallagia","wymani",NA,"","species",0,"Catallagia wymani","FMNH"
"170","Siphonaptera","Hystrichopsyllidae","Conorhinopsylla","nidicola",NA,"Jellison, 1945","species",0,"Conorhinopsylla nidicola","FMNH"
"171","Siphonaptera","Hystrichopsyllidae","Conorhinopsylla","stanfordi",NA,"Stewart, 1930","species",0,"Conorhinopsylla stanfordi","FMNH"
"172","Siphonaptera","Hystrichopsyllidae","Corrodopsylla","curvata",NA,"","species",0,"Corrodopsylla curvata","FMNH"
"173","Siphonaptera","Hystrichopsyllidae","Corrodopsylla","curvata","curvata","Rothschild, 1915","subspecies",0,"Corrodopsylla curvata curvata","FMNH"
"174","Siphonaptera","Hystrichopsyllidae","Corrodopsylla","curvata","obtusata","Wagner, 1929","subspecies",0,"Corrodopsylla curvata obtusata","FMNH"
"175","Siphonaptera","Hystrichopsyllidae","Corrodopsylla","hamiltoni",NA,"Traub, 1944","species",0,"Corrodopsylla hamiltoni","FMNH"
"176","Siphonaptera","Hystrichopsyllidae","Corypsylla","jordani",NA,"Hubbard, 1940","species",0,"Corypsylla jordani","FMNH"
"177","Siphonaptera","Hystrichopsyllidae","Corypsylla","kohlsi",NA,"","species",0,"Corypsylla kohlsi","FMNH"
"178","Siphonaptera","Hystrichopsyllidae","Corypsylla","ornata",NA,"Fox, 1908","species",0,"Corypsylla ornata","FMNH"
"180","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","pseudagyrtes","pseudagyrtes","Baker, 1904","subspecies",0,"Ctenophthalmus pseudagyrtes pseudagyrtes","FMNH"
"181","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus","pseudagyrtes",NA,"Baker, 1904","species",0,"Ctenophthalmus pseudagyrtes","FMNH"
"182","Siphonaptera","Hystrichopsyllidae","Delotelis","hollandi",NA,"Smit, 1952","species",0,"Delotelis hollandi","FMNH"
"183","Siphonaptera","Hystrichopsyllidae","Epitedia","neotomae",NA,"Jameson, 1946","species",0,"Epitedia neotomae","FMNH"
"184","Siphonaptera","Hystrichopsyllidae","Epitedia","scapani",NA,"Wagner, 1936","species",0,"Epitedia scapani","FMNH"
"185","Siphonaptera","Hystrichopsyllidae","Epitedia","wenmanni",NA,"Rothschild, 1904","species",0,"Epitedia wenmanni","FMNH"
"186","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","dippiei",NA,"","species",0,"Hystrichopsylla dippiei","FMNH"
"187","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","dippiei","dippiei","Rothschild, 1902","subspecies",0,"Hystrichopsylla dippiei dippiei","FMNH"
"188","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","occidentalis","occidentalis","Holland, 1949","subspecies",0,"Hystrichopsylla occidentalis occidentalis","FMNH"
"189","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","schefferi",NA,"Chapin, 1919","species",0,"Hystrichopsylla schefferi","FMNH"
"190","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","tahavuana",NA,"","species",0,"Hystrichopsylla tahavuana","FMNH"
"191","Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","talpae","talpae","Curtis, 1826","subspecies",0,"Hystrichopsylla talpae talpae","FMNH"
"193","Siphonaptera","Hystrichopsyllidae","Jordanopsylla","allredi",NA,"Traub & Tipton, 1951","species",0,"Jordanopsylla allredi","FMNH"
"194","Siphonaptera","Hystrichopsyllidae","Jordanopsylla","becki",NA,"Hastriter, 2000","species",0,"Jordanopsylla becki","FMNH"
"195","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","bisetis",NA,"Jordan & Rothschild, 1915","species",0,"Megarthroglossus bisetis","FMNH"
"196","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","cavernicolus",NA,"Mendez & Haas, 1972","species",0,"Megarthroglossus cavernicolus","FMNH"
"197","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","jamesoni",NA,"Smit, 1953","species",0,"Megarthroglossus jamesoni","FMNH"
"198","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","procus",NA,"Jordan & Rothschild, 1915","species",0,"Megarthroglossus procus","FMNH"
"199","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","sierrae",NA,"Augustson, 1953","species",0,"Megarthroglossus sierrae","FMNH"
"200","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","smiti",NA,"Mendez, 1954","species",0,"Megarthroglossus smiti","FMNH"
"201","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","spenceri",NA,"Wagner, 1936","species",0,"Megarthroglossus spenceri","FMNH"
"203","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","weaveri",NA,"Eads & Campos, 1977","species",0,"Megarthroglossus weaveri","FMNH"
"204","Siphonaptera","Hystrichopsyllidae","Megarthroglossus","wilsoni",NA,"Mendez & Haas, 1973","species",0,"Megarthroglossus wilsoni","FMNH"
"205","Siphonaptera","Hystrichopsyllidae","Meringis","agilis",NA,"Eads, 1960","species",0,"Meringis agilis","FMNH"
"206","Siphonaptera","Hystrichopsyllidae","Meringis","altipecten",NA,"Traub & Hoff, 1951","species",0,"Meringis altipecten","FMNH"
"207","Siphonaptera","Hystrichopsyllidae","Meringis","arachis",NA,"Jordan, 1929","species",0,"Meringis arachis","FMNH"
"208","Siphonaptera","Hystrichopsyllidae","Meringis","bilsingi",NA,"Eads & Menzies, 1949","species",0,"Meringis bilsingi","FMNH"
"209","Siphonaptera","Hystrichopsyllidae","Meringis","californicus",NA,"Augustson, 1953","species",0,"Meringis californicus","FMNH"
"210","Siphonaptera","Hystrichopsyllidae","Meringis","cummingi",NA,"","species",0,"Meringis cummingi","FMNH"
