"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
NA,35,NA,NA,NA,NA,NA,NA,NA,"Aetheca Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,"1983",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Aetheca",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Aetheca"
NA,36,NA,NA,NA,NA,NA,NA,NA,"Amaradix Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,"1983",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amaradix",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Amaradix"
NA,37,NA,NA,NA,NA,NA,NA,NA,"Amonopsyllus Wagner, 1938",NA,"Ceratophyllinae",NA,NA,NA,"1938",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amonopsyllus",NA,NA,NA,"genus",NA,"Wagner, 1938",NA,"ICZN","accepted",NA,NA,"Amonopsyllus"
NA,38,NA,NA,NA,NA,NA,NA,NA,"Amphalius Jordan, 1933",NA,"Ceratophyllinae",NA,NA,NA,"1933",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Amphalius",NA,NA,NA,"genus",NA,"Jordan, 1933",NA,"ICZN","accepted",NA,NA,"Amphalius"
NA,39,NA,NA,NA,NA,NA,NA,NA,"Baculomeris Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,"1983",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Baculomeris",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Baculomeris"
NA,40,NA,NA,NA,NA,NA,NA,NA,"Brevictenidia Liu & Li, 1965",NA,"Ceratophyllinae",NA,NA,NA,"1965",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Brevictenidia",NA,NA,NA,"genus",NA,"Liu & Li, 1965",NA,"ICZN","accepted",NA,NA,"Brevictenidia"
NA,41,NA,NA,NA,NA,NA,NA,NA,"Callopsylla Wagner, 1934",NA,"Ceratophyllinae",NA,NA,NA,"1934",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Callopsylla",NA,NA,NA,"genus",NA,"Wagner, 1934",NA,"ICZN","accepted",NA,NA,"Callopsylla"
NA,42,NA,NA,NA,NA,NA,NA,NA,"Citellophilus Wagner, 1934",NA,"Ceratophyllinae",NA,NA,NA,"1934",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Citellophilus",NA,NA,NA,"genus",NA,"Wagner, 1934",NA,"ICZN","accepted",NA,NA,"Citellophilus"
NA,43,NA,NA,NA,NA,NA,NA,NA,"Dasypsyllus Baker, 1905",NA,"Ceratophyllinae",NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Dasypsyllus",NA,NA,NA,"genus",NA,"Baker, 1905",NA,"ICZN","accepted",NA,NA,"Dasypsyllus"
NA,44,NA,NA,NA,NA,NA,NA,NA,"Eumolpianus Smit, 1983",NA,"Ceratophyllinae",NA,NA,NA,"1983",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Eumolpianus",NA,NA,NA,"genus",NA,"Smit, 1983",NA,"ICZN","accepted",NA,NA,"Eumolpianus"
NA,45,NA,NA,NA,NA,NA,NA,NA,"Glaciopsyllus Smit & Dunnet, 1962",NA,"Ceratophyllinae",NA,NA,NA,"1962",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Glaciopsyllus",NA,NA,NA,"genus",NA,"Smit & Dunnet, 1962",NA,"ICZN","accepted",NA,NA,"Glaciopsyllus"
NA,46,NA,NA,NA,NA,NA,NA,NA,"Hollandipsylla Traub, 1953",NA,"Ceratophyllinae",NA,NA,NA,"1953",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Hollandipsylla",NA,NA,NA,"genus",NA,"Traub, 1953",NA,"ICZN","accepted",NA,NA,"Hollandipsylla"
NA,47,NA,NA,NA,NA,NA,NA,NA,"Kohlsia Traub, 1950",NA,"Ceratophyllinae",NA,NA,NA,"1950",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Kohlsia",NA,NA,NA,"genus",NA,"Traub, 1950",NA,"ICZN","accepted",NA,NA,"Kohlsia"
NA,48,NA,NA,NA,NA,NA,NA,NA,"Libyastus Jordan, 1936",NA,"Ceratophyllinae",NA,NA,NA,"1936",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Libyastus",NA,NA,NA,"genus",NA,"Jordan, 1936",NA,"ICZN","accepted",NA,NA,"Libyastus"
