"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",2925,NA,NA,"1210",NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,"1856",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Nycteridopsylla",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,NA,"synonym",NA,NA,"Nycteridopsylla bouchei"
"Lewis",2936,NA,NA,"1327",NA,NA,NA,NA,NA,"Pulex musculi Dugs, 1832","Leptopsylla segnis (Schnherr, 1811)",NA,NA,NA,NA,"1811",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Leptopsyllinae","Pulex",NA,"musculi",NA,"species",NA,"Dugs, 1832",NA,NA,"synonym",NA,NA,"Pulex musculi"
"Lewis",2966,NA,NA,"1620",NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,"1932",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Nycteridopsylla",NA,"bouchei",NA,"species",NA,"Oudemans, 1906",NA,NA,"synonym",NA,NA,"Nycteridopsylla bouchei"
"Lewis",2972,NA,NA,"1727",NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,"1916",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"acutus",NA,"species",NA,"Baker, 1904",NA,NA,"synonym",NA,NA,"Ceratophyllus acutus"
"Lewis",2988,NA,NA,"1858",NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"acutus",NA,"species",NA,"Baker, 1904",NA,NA,"synonym",NA,NA,"Ceratophyllus acutus"
"Lewis",3030,NA,NA,"2334",NA,NA,NA,NA,NA,"Rhadinopsylla semenovi Argyropulo, 1941","Rhadinopsylla semenovi Argyropulo, 1946",NA,NA,NA,NA,"1946",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Rhadinopsyllinae","Rhadinopsylla",NA,"semenovi",NA,"species",NA,"Argyropulo, 1941",NA,NA,"synonym",NA,NA,"Rhadinopsylla semenovi"
"Lewis",3035,NA,NA,"2405",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus simplex (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Acediopsylla",NA,NA,NA,"species",NA,"Ewing, 1940",NA,NA,"synonym",NA,NA,"Acediopsylla"
"Lewis",3036,NA,NA,"2406",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus spillmanni Jordan, 1930",NA,NA,NA,NA,"1930",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Acediopsylla",NA,NA,NA,"species",NA,"Ewing, 1940",NA,NA,"synonym",NA,NA,"Acediopsylla"
"Lewis",3037,NA,NA,"2407",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus tepolita Barrera, 1967",NA,NA,NA,NA,"1967",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Acediopsylla",NA,NA,NA,"species",NA,"Ewing, 1940",NA,NA,"synonym",NA,NA,"Acediopsylla"
"Lewis",3174,NA,NA,"2403",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus inaequalis inaequalis (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Acediopsylla",NA,NA,NA,"subspecies",NA,"Ewing, 1940",NA,NA,"synonym",NA,NA,"Acediopsylla"
"Lewis",3175,NA,NA,"2404",NA,NA,NA,NA,NA,"Acediopsylla Ewing, 1940","Spilopsyllus inaequalis interrupta Jordan, 1925",NA,NA,NA,NA,"1925",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Acediopsylla",NA,NA,NA,"subspecies",NA,"Ewing, 1940",NA,NA,"synonym",NA,NA,"Acediopsylla"
"Lewis",3213,NA,NA,"1210",NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,"1856",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Ischnopsyllus",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,NA,"synonym",NA,NA,"Ischnopsyllus kolenatii"
"Lewis",3227,NA,NA,"1620",NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,"1932",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Ischnopsyllus",NA,"kolenatii",NA,"species",NA,"Wagner, 1930",NA,NA,"synonym",NA,NA,"Ischnopsyllus kolenatii"
"Lewis",3229,NA,NA,"1727",NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,"1916",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Diamanus",NA,"hopkinsi",NA,"species",NA,"Vargas, 1955",NA,NA,"synonym",NA,NA,"Diamanus hopkinsi"
"Lewis",3247,NA,NA,"2405",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus simplex (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Cediopsylla",NA,NA,NA,"species",NA,"Jordan, 1925",NA,NA,"synonym",NA,NA,"Cediopsylla"
