"source","taxonID","species","author","synonym(s)","fossil","reason"
"Lewis",234,"novomexicanensis","Williams & Hoff",NA,NA,NA
"Lewis",239,"oaxacae","Barnes",NA,NA,NA
"Lewis",240,"perotensis","Acosta & Fernandez",NA,NA,NA
"Lewis",241,"sinuatus","Holland",NA,NA,NA
"Lewis",242,"traubi","Barrera",NA,NA,NA
"Lewis",243,"walkeri","Barnes",NA,NA,NA
"Lewis",244,"conversa","Jordan & Rothschild",NA,NA,NA
"Lewis",245,"truncata","Hastriter",NA,NA,NA
"Lewis",246,"wollastoni","(Rothschild)",NA,NA,NA
"Lewis",247,"elbeli","Traub",NA,NA,NA
"Lewis",248,"faini","Beaucournu",NA,NA,NA
"Lewis",249,"gestroi","(Rothschild)",NA,NA,NA
"Lewis",250,"goodmani","Hastriter",NA,NA,NA
"Lewis",251,"immanis","Smit",NA,NA,NA
"Lewis",252,"lumareti","Smit",NA,NA,NA
"Lewis",253,"martialis","(Rothschild)",NA,NA,NA
"Lewis",254,"phnomensis","Klein",NA,NA,NA
"Lewis",255,"scitula","(Rothschild)",NA,NA,NA
"Lewis",256,"smiti","Hastriter",NA,NA,NA
"Lewis",257,"wassifi","Traub",NA,NA,NA
"Lewis",264,"sinensis","Jordan & Rothschild",NA,NA,NA
"Lewis",266,"archboldi","Hastriter",NA,NA,NA
"Lewis",267,"microphthalmus","Smit",NA,NA,NA
"Lewis",268,"mirzai","Hastriter",NA,NA,NA
"Lewis",269,"toxopeusi","Hastriter",NA,NA,NA
"Lewis",270,"cionus","Poinar",NA,"Fossil",NA
"Lewis",271,"bishopi","Jordan",NA,NA,NA
"Lewis",279,"nuperus","(Jordan)",NA,NA,NA
"Lewis",280,"shogakii","Jameson & Sakaguti",NA,NA,NA
"Lewis",281,"tancitari","Traub & Johnson",NA,NA,NA
"Lewis",283,"brevipecten","Holland",NA,NA,NA
"Lewis",284,"apapillus","Liu, Li & Shi",NA,NA,NA
"Lewis",285,"hylomysus","Li, Xie & Gong",NA,NA,NA
"Lewis",287,"klossi","(Jordan & Rothschild)",NA,NA,NA
"Lewis",289,"thurmani","(Johnson)",NA,NA,NA
"Lewis",290,"altmani","(Tipton & Mendez)",NA,NA,NA
"Lewis",291,"schmidti","(Traub)",NA,NA,NA
"Lewis",292,"excelsa","Jordan",NA,NA,NA
"Lewis",293,"acumena","Hastriter",NA,NA,NA
"Lewis",294,"archboldi","(Holland)",NA,NA,NA
"Lewis",295,"arcuata","(Holland)",NA,NA,NA
"Lewis",296,"bosaviensis","Hastriter",NA,NA,NA
"Lewis",297,"colossa","(Rothschild)",NA,NA,NA
"Lewis",298,"engilisi","Hastriter",NA,NA,NA
"Lewis",299,"gravis","(Rothschild)",NA,NA,NA
"Lewis",300,"iridis","(Holland)",NA,NA,NA
"Lewis",302,"laciniosa","(Rothschild)",NA,NA,NA
"Lewis",303,"mikeliensis","Hastriter",NA,NA,NA
"Lewis",306,"sinuata","(Holland)",NA,NA,NA
"Lewis",307,"smitiana","(Holland)",NA,NA,NA
"Lewis",308,"tiptoni","(Traub)",NA,NA,NA
"Lewis",309,"traubi","(Holland)",NA,NA,NA
"Lewis",310,"myospalacis","Wagner",NA,NA,NA
"Lewis",311,"echidnae","(Denny)",NA,NA,NA
"Lewis",312,"mikulini","(Shvarts)",NA,NA,NA
"Lewis",313,"assimulata","(Weiss)",NA,NA,NA
"Lewis",314,"eremita","Beaucournu & Kowalski",NA,NA,NA
"Lewis",315,"janineae","Beaucournu& Gouat",NA,NA,NA
"Lewis",319,"mira","Rothschild",NA,NA,NA
"Lewis",320,"aduncata","Liu, Wu & Wang",NA,NA,NA
"Lewis",326,"arcuata","Ge, Wang & Ma",NA,NA,NA
"Lewis",327,"beishanensis","Wu Ni & Wu",NA,NA,NA
"Lewis",328,"bursiforma","Wu, Cai & Li",NA,NA,NA
"Lewis",337,"changduensis","(Liu, Wu & Wu)",NA,NA,NA
"Lewis",338,"digitata","Cai, Wu & Liu",NA,NA,NA
"Lewis",339,"dolabella","Smit & Rosicky",NA,NA,NA
"Lewis",340,"dolabris","(Jordan & Rothschild)",NA,NA,NA
"Lewis",341,"forfica","Wu, Chen & Liu",NA,NA,NA
"Lewis",342,"gemina","(Ioff)",NA,NA,NA
"Lewis",343,"gypaetina","Peus",NA,NA,NA
"Lewis",344,"kazbegiensis","Goncharov",NA,NA,NA
"Lewis",345,"kaznakovi","(Wagner)",NA,NA,NA
"Lewis",346,"kozlovi","(Wagner)",NA,NA,NA
"Lewis",347,"lagomys","(Wagner)",NA,NA,NA
"Lewis",348,"liui","Li, Wu & Yang",NA,NA,NA
"Lewis",349,"longispina","Zhang & Yu",NA,NA,NA
"Lewis",350,"mygala","(Lewis)",NA,NA,NA
"Lewis",351,"oreinus","(Jordan)",NA,NA,NA
"Lewis",352,"petaurista","Tsai, Wu & Liu",NA,NA,NA
"Lewis",353,"qinghaiensis","Wang, Li & Cai",NA,NA,NA
"Lewis",355,"saxatilis","(Ioff & Argyropulo)",NA,NA,NA
"Lewis",356,"semenovi","(Ioff)",NA,NA,NA
"Lewis",361,"streeti","Lewis",NA,NA,NA
"Lewis",364,"waterstoni","(Jordan)",NA,NA,NA
"Lewis",365,"xizngensis","Go & Ma",NA,NA,NA
"Lewis",366,"xui","Wu, Guo & Liu",NA,NA,NA
"Lewis",367,"yui","ye & Jiang",NA,NA,NA
"Lewis",368,"zhangi","Wu, Guo & Liu",NA,NA,NA
"Lewis",370,"carteri","C. Fox",NA,NA,NA
"Lewis",371,"clavata","Good",NA,NA,NA
"Lewis",372,"arizonae","Holland",NA,NA,NA
"Lewis",374,"borealis","Ewing",NA,NA,NA
"Lewis",375,"calisheri","Eads & Campos",NA,NA,NA
"Lewis",376,"chamberlini","Hubbard",NA,NA,NA
"Lewis",378,"charlottensis","(Baker)",NA,NA,NA
"Lewis",380,"dacenkoi","Ioff",NA,NA,NA
"Lewis",382,"decipiens","Rothschild",NA,NA,NA
"Lewis",383,"duffneri","Lewis & Haas",NA,NA,NA
"Lewis",384,"fetisovi","Vovchinskaya",NA,NA,NA
"Lewis",385,"ioffi","Scalon",NA,NA,NA
"Lewis",386,"jellisoni","Holland",NA,NA,NA
"Lewis",387,"luski","Schwan & Nelson",NA,NA,NA
"Lewis",388,"mathesoni","Jameson",NA,NA,NA
"Lewis",389,"neweyi","Holland & Loshbaugh",NA,NA,NA
"Lewis",393,"sculleni","Hubbard",NA,NA,NA
"Lewis",394,"striata","Scalon",NA,NA,NA
"Lewis",395,"wymani","C. Fox",NA,NA,NA
"Lewis",396,"madagascariensis","(Rothschild)",NA,NA,NA
"Lewis",397,"adustus","Jordan",NA,NA,NA
"Lewis",398,"affinis","Nordberg",NA,NA,NA
"Lewis",399,"altus","Tipton & Mendez",NA,NA,NA
"Lewis",400,"arcuegens","Holland",NA,NA,NA
"Lewis",401,"borealis","Rothschild",NA,NA,NA
