"source","taxonID","catalog number","catalog","barcode","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid"
"NMNH",411,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical; Oriental; Palaearctic","Egypt; Ivory Coast; Namibia; South Africa; South Vietnam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/330e4cf38-fa1c-4ff3-ba95-3e8a76e5861c"
"NMNH",435,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Palaearctic","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:17:00,"http://n2t.net/ark:/65665/3f56c3cb9-328a-4430-85a4-a727026968b4"
"NMNH",437,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Palaearctic","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:17:00,"http://n2t.net/ark:/65665/38d84b346-b637-4a6d-9199-848f2cea8466"
"NMNH",482,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Palaearctic","Iran",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 17:31:00,"http://n2t.net/ark:/65665/30486e6eb-778d-4671-8b84-e0052f030f59"
"NMNH",500,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical; Nearctic; Neotropical; Palaearctic","Italy; Mexico; Senegal; Siberia; United States (Idaho, Michigan, Minnesota, Montana, Oklahoma, Oregon, Texas, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/317f43588-aedb-4f69-8ab8-cb5d5b01ca10"
"NMNH",523,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Neotropical; Palaearctic","Korea; Mexico; United States (Arizona, California, Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/39eab9587-e2d4-462b-a81a-c20d6fae460e"
"NMNH",583,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Neotropical","Mexico; United States (California, Idaho, Montana, New Mexico, Oregon, Utah, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/33bf8ff48-fa85-4f65-95c9-5ed34f6bda21"
"NMNH",599,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Neotropical","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-23 19:17:00,"http://n2t.net/ark:/65665/3f2f84827-1524-426d-ad08-977c776aec20"
"NMNH",624,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-23 16:40:00,"http://n2t.net/ark:/65665/3dec0bbd5-2eea-4bc4-9d05-5aa77e0844aa"
"NMNH",629,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","Mozambique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-23 16:40:00,"http://n2t.net/ark:/65665/3400d063e-e987-452a-8219-68a520a5a018"
"NMNH",671,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Australasian","New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/3aa084bc7-f423-45b5-bd0f-3d6a784e376b"
"NMNH",674,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Australasian","New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/394f793ba-6e5f-4697-84fe-5cb5fbc54229"
"NMNH",692,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Palaearctic","Pakistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-18 20:43:00,"http://n2t.net/ark:/65665/3abc02d6e-3a4e-477f-a166-c9041438ac14"
"NMNH",718,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Australasian","Papau New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2017-01-03 20:40:00,"http://n2t.net/ark:/65665/3fd818169-cbd7-4c61-9816-2c5ecc29cc36"
"NMNH",729,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Neotropical","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-23 19:04:00,"http://n2t.net/ark:/65665/38cd3023f-9745-4474-85ff-b449c1d2769f"
"NMNH",737,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Oriental","Philippines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-12-15 16:06:00,"http://n2t.net/ark:/65665/3588032f2-c4cc-4aae-9651-27f7e4030126"
"NMNH",768,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/344a039e6-9a9d-4309-8623-bd016a26e221"
"NMNH",773,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:21:00,"http://n2t.net/ark:/65665/3ed06aad2-7d14-4721-9fef-440d1a48e337"
